Title,Sourceid,Type,Issn,issn_parsed
"Proceedings - 2019 International Conference on Intelligent Computing and Its Emerging Applications, ICEA 2019",21100933978,conference and proceedings,-,
PECCS 2019 - Proceedings of the 9th International Conference on Pervasive and Embedded Computing and Communication Systems,21100934230,conference and proceedings,-,
"Proceedings - 2019 IEEE International Congress on Cybermatics: 12th IEEE International Conference on Internet of Things, 15th IEEE International Conference on Green Computing and Communications, 12th",21100935088,conference and proceedings,-,
"2019 14th International Workshop on Semantic and Social Media Adaptation and Personalization, SMAP 2019",21100935762,conference and proceedings,-,
"Proceedings of the 32nd International Technical Meeting of the Satellite Division of the Institute of Navigation, ION GNSS+ 2019",21100935996,conference and proceedings,-,
"2019 10th International Conference on Speech Technology and Human-Computer Dialogue, SpeD 2019",21100937431,conference and proceedings,-,
"2019 IEEE International Conference on Computer Science and Educational Informatization, CSEI 2019",21100942312,conference and proceedings,-,
"2019 18th International Conference on Information Technology Based Higher Education and Training, ITHET 2019",21100942324,conference and proceedings,-,
"BESC 2019 - 6th International Conference on Behavioral, Economic and Socio-Cultural Computing, Proceedings",21100944435,conference and proceedings,-,
Cinema,21100945205,journal,16478991,16478991
"Proceeding - 2019 International Conference on ICT for Smart Society: Innovation and Transformation Toward Smart Region, ICISS 2019",21100946134,conference and proceedings,-,
Slovenske Divadlo,21100948920,journal,"0037699X, 13368605","0037699X,13368605"
"Proceedings of the 2019 IEEE/ACM International Conference on Advances in Social Networks Analysis and Mining, ASONAM 2019",21100953525,conference and proceedings,-,
"KICSS 2018 - 2018 13th International Conference on Knowledge, Information and Creativity Support Systems, Proceedings",21100954124,conference and proceedings,-,
"Proceedings - 2019 IEEE International Conference on Conversational Data and Knowledge Engineering, CDKE 2019",21100954476,conference and proceedings,-,
"Proceedings - 2019 IEEE International Conference on Humanized Computing and Communication, HCC 2019",21100958282,conference and proceedings,-,
"International Conference on Artificial Intelligence for Transforming Business and Society, AITB 2019",21100958374,conference and proceedings,-,
"Proceedings - 2019 1st International Conference on Transdisciplinary AI, TransAI 2019",21100958492,conference and proceedings,-,
"BDCAT 2019 - Proceedings of the 6th IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",21100962834,conference and proceedings,-,
"2019 IEEE Automatic Speech Recognition and Understanding Workshop, ASRU 2019 - Proceedings",21100970229,conference and proceedings,-,
Literary Journalism Studies,21100980696,journal,"1944897X, 19448988","1944897X,19448988"
Anafora,21101019252,journal,"24595160, 18492339","24595160,18492339"
Imago - Revista de Emblematica y Cultura Visual,21101021487,journal,"21710147, 22549633","21710147,22549633"
Paralleles,21101023864,journal,"21024316, 22966684","21024316,22966684"
Apparatus,21101038535,journal,23657758,23657758
Vestnik Moskovskogo Universiteta. Seriya 10. Zhurnalistika,21101038677,journal,"03208079, 26583526","03208079,26583526"
Medialni Studia,21101038820,journal,"18019978, 24644846","18019978,24644846"
Political Economy of Communication,21101039258,journal,23571705,23571705
Internationale Neerlandistiek,21101040216,journal,"18769071, 22145729","18769071,22145729"
Z Badan nad Ksiazka i Ksiegozbiorami Historycznymi,21101046690,journal,"25448730, 18970788","25448730,18970788"
MedieKultur,21101046763,journal,19019726,19019726
"Language, Discourse and Society",21101050346,journal,22394192,22394192
Scholarly Assessment Reports,21101051215,journal,26895870,26895870
"Translation, Cognition and Behavior",21101053571,journal,"25425285, 25425277","25425285,25425277"
Studies in Language Variation,21101053574,book series,18729592,18729592
Poznanskie Studia Slawistyczne,21101061449,journal,"20843011, 24502731","20843011,24502731"
Visual History,21101089139,journal,"25323504, 24215627","25323504,24215627"
"Journal for Religion, Film and Media",21101090148,journal,"26173697, 24140201","26173697,24140201"
Advances in Southeast Asian Studies,21101141528,journal,2791531X,2791531X
Utrecht Studies in Language and Communication,21101145385,book series,09277706,09277706
Journal of Visualized Surgery,21101176017,journal,22212965,22212965
Journal of Project Management (Canada),21101180532,journal,"23718374, 23718366","23718374,23718366"
"Documentation, Information and Knowledge",21101185486,journal,10032797,10032797
Digital Translation: International Journal of Translation and Localization,21101194144,journal,"29496861, 29496845","29496861,29496845"
Eludamos,21101196453,journal,18666124,18666124
Evropsky Politicky a Pravni Diskurz,21101198704,journal,23365447,23365447
Discourses on Culture,21101243077,journal,24500402,24500402
Publishing and Printing,21101256260,journal,10071938,10071938
Communications in Information and Systems,21101256262,journal,"15267555, 21634548","15267555,21634548"
"International Conference on eDemocracy and eGovernment, ICEDEG",21101258141,journal,"25731998, 25732005","25731998,25732005"
IEEE Networking Letters,21101259094,journal,25763156,25763156
ZTE Communications,21101260505,journal,16735188,16735188
Speech Communication,23671,journal,01676393,01676393
Tolley's Communications Law,3200147834,journal,13619918,13619918
Communications News,4400151706,journal,00103632,00103632
Proceedings of the International Conference on Active Media Technology,54766,conference and proceedings,-,
"1st International Workshop on Broadband Convergence Network, BcN2006",5600152712,conference and proceedings,-,
"First International Conference on Communication System Software and Middleware, Comsware 2006",5700165163,conference and proceedings,-,
Kodikas/ Code,5700169140,journal,01710834,01710834
Zeitschrift fur Evaluation,7200153128,journal,16195515,16195515
South African Journal of Communication Disorders,73721,journal,"03798046, 22254765","03798046,22254765"
